team_abbr,lineup,lineup_ok,lineup_matches,lineup_remainder,lineup_num,man1,man2,man3,man4,man5,minutes,net,off_pts,off_delta,off_3pt,offts,offts_net,offtov,offtov_net,offorb,offorb_net,def_pts,def_delta,def_3pt,defts,defts_net,deftov,deftov_net,deforb,deforb_net,source_url
ATL,AlexanderOkongwuJohnsonDanielsRisacher,TRUE,5,,1,Alexander,Okongwu,Johnson,Daniels,Risacher,247,0.1,118.6,2.6,38.6,60.6,2.8,14.1,-0.3,26.2,-3.8,118.5,2.5,38.7,60.7,3,15,0.6,25.9,-4.2,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,AlexanderOkongwuKrejciJohnsonDaniels,TRUE,5,,2,Alexander,Okongwu,Krejci,Johnson,Daniels,172,-1,104.2,-11.8,30.6,53.8,-4,15.1,0.7,24.1,-5.9,105.2,-10.8,33.1,55.8,-1.9,18.6,4.2,29,-1.1,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,AlexanderJohnsonDanielsRisacherPorziņģis,TRUE,5,,3,Alexander,Johnson,Daniels,Risacher,Porziņģis,117,-1.3,118.3,2.3,35.6,58.5,0.7,12,-2.4,29.5,-0.6,119.6,3.6,39.6,58.1,0.4,12.2,-2.1,28.9,-1.2,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,YoungAlexanderOkongwuJohnsonDaniels,TRUE,5,,4,Young,Alexander,Okongwu,Johnson,Daniels,45,-19.7,109.2,-6.8,34.4,58.2,0.4,14.3,-0.1,19.5,-10.6,128.8,12.8,40,67,9.3,18.3,3.9,23.5,-6.5,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,YoungOkongwuJohnsonDanielsRisacher,TRUE,5,,5,Young,Okongwu,Johnson,Daniels,Risacher,42,-25.5,120.7,4.6,37,64.5,6.8,14.1,-0.3,17.1,-12.9,146.2,30.1,49,74.7,17,9.9,-4.5,21.2,-8.9,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,KennardOkongwuKrejciWallaceGueye,TRUE,5,,6,Kennard,Okongwu,Krejci,Wallace,Gueye,40,-20.9,104.7,-11.3,39,59.3,1.6,16.5,2.1,19.4,-10.6,125.6,9.6,36.1,60.6,2.8,15.9,1.5,43.2,13.2,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,KennardKrejciJohnsonDanielsGueye,TRUE,5,,7,Kennard,Krejci,Johnson,Daniels,Gueye,38,25,123.7,7.7,34.4,56.6,-1.1,9.2,-5.2,34.2,4.1,98.7,-17.3,33.3,51.3,-6.4,20.5,6.1,29.3,-0.8,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,KennardOkongwuKrejciDanielsGueye,TRUE,5,,8,Kennard,Okongwu,Krejci,Daniels,Gueye,36,-9.9,115.5,-0.5,37.1,56.3,-1.5,15.5,1.1,37.8,7.8,125.4,9.3,50,68.8,11,19.7,5.3,29.2,-0.9,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,AlexanderOkongwuJohnsonDanielsMcCollum,TRUE,5,,9,Alexander,Okongwu,Johnson,Daniels,McCollum,36,26.3,139.2,23.2,50,69.6,11.9,12.7,-1.7,42.9,12.8,113,-3,31,53.8,-4,7.8,-6.6,25.6,-4.4,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
ATL,AlexanderOkongwuJohnsonKispertDaniels,TRUE,5,,10,Alexander,Okongwu,Johnson,Kispert,Daniels,34,-13.2,102.6,-13.4,41.9,52,-5.8,14.3,-0.1,23.3,-6.8,115.8,-0.2,41.4,59.5,1.7,14.5,0.1,25,-5.1,https://databallr.com/wowy/ATL/2026/2026/regular/high/5man
